F1,F2,F3,F4,F5,F6,CODE1,CODE2,prove,provf,taxyr,f7
288610,5181481,1491340,11236123,0,0,B,13,,,2004,8
407770,2134602,1212250,3313729,0,0,B,14,,,2004,8
790240,10957492,1902080,13043689,0,0,B,15,,,2004,8
491990,3779554,1631550,8066079,0,0,B,16,,,2004,8
309970,7579595,1732700,18360901,0,0,B,17,,,2004,8
177840,18489612,354340,20207635,0,0,B,18,,,2004,8
36740,1893887,136380,2714157,0,0,B,19,,,2004,8
86450,705159,397750,965178,0,0,B,20,,,2004,8
5680,230095,35900,501732,0,0,B,21,,,2004,8
116090,958780,3442960,18849813,0,0,B,22,,,2004,8
988820,8670627,3288300,15250469,0,0,B,23,,,2004,8
4738020,433707861,22650520,808063829,0,0,B,24,,,2004,8
1938970,6820253,4110640,9727907,0,0,C,25,,,2004,8
2857790,19783502,6113200,28467080,0,0,C,26,,,2004,8
1971330,1610183,5295780,2877489,0,0,C,27,,,2004,8
239780,946398,1140890,3286634,0,0,C,28,,,2004,8
1099750,2432963,2502820,3273353,0,0,C,29,,,2004,8
244470,370059,1335900,988396,0,0,C,30,,,2004,8
416540,2554313,803150,3737040,0,0,C,31,,,2004,8
9990,152399,26880,293939,0,0,C,32,,,2004,8
320690,3521314,1103010,4755317,0,0,C,33,,,2004,8
4287360,38191435,12614510,57416820,0,0,C,34,,,2004,8
382950,877504,386130,881234,0,0,C,35,,,2004,8
4736320,394878666,22526040,751334615,0,0,C,36,,,2004,8
37670,2379701,63470,2570116,0,0,C,37,,,2004,8
245090,1151203,506530,1712056,0,0,C,38,,,2004,8
294520,4370952,3851730,23284927,0,0,C,39,,,2004,8
552240,7912450,4367570,27588033,0,0,C,40,,,2004,8
4734100,387010549,21828390,723893356,0,0,C,41,,,2004,8
4733870,37903284,23499090,187356492,0,0,D,42,,,2004,8
117810,81635,3755650,13378002,0,0,D,43,,,2004,8
767840,4294905,2994520,16518108,0,0,D,44,,,2004,8
4125510,7365362,14977530,17218656,0,0,D,45,,,2004,8
3685540,2767399,13434000,6871560,0,0,D,46,,,2004,8
669590,665719,3243900,3154763,0,0,D,47,,,2004,8
42830,172661,144350,570488,0,0,D,48,,,2004,8
76250,578638,495000,3388292,0,0,D,49,,,2004,8
637140,2435033,2365530,8560316,0,0,D,50,,,2004,8
143220,96597,708820,404121,0,0,D,51,,,2004,8
105860,330164,735690,2464943,0,0,D,52,,,2004,8
413040,1469044,3087800,6419526,0,0,D,53,,,2004,8
4735180,9303138,23503590,42594888,0,0,D,54,,,2004,8
2532980,4913361,5904420,7415126,0,0,D,55,,,2004,8
3700,73292,6670,85821,0,0,E,56,,,2004,8
2518610,1394934,5833550,2063992,0,0,E,57,,,2004,8
4735300,10698073,23504060,44658881,0,0,E,58,,,2004,8
4721590,68296821,15898830,95062566,0,0,E,59,,,2004,8
1238640,2242947,2959900,2741996,0,0,F,60,,,2004,8
4713140,67730470,15881710,94446962,0,0,F,61,,,2004,8
4710670,67581982,15801470,94223490,0,0,F,62,,,2004,8
3774020,27976548,10980740,37255949,0,0,F,63,,,2004,8
4724470,97002109,16172670,133903915,0,0,F,64,,,2004,8
