F1,F2,F3,F4,F5,F6,CODE1,CODE2,prove,provf,taxyr,f7
163330,83013,127220,80764,100410,76779,C,30,,,2004,2
31310,66696,41080,111356,50470,138346,C,31,,,2004,2
1170,4932,1940,11031,2530,14191,C,32,,,2004,2
108630,111689,101430,171468,99050,143012,C,33,,,2004,2
909990,1170973,936040,1677419,993820,2097159,C,34,,,2004,2
0,0,50,291,320,329,C,35,,,2004,2
2302270,38785564,1765850,37998547,1600290,41933274,C,36,,,2004,2
2830,6392,3250,16194,2790,18783,C,37,,,2004,2
32610,54346,33980,68919,32780,71975,C,38,,,2004,2
753750,3116648,235030,1189732,151080,872515,C,39,,,2004,2
782480,3177930,266630,1275488,183750,963273,C,40,,,2004,2
2269630,35616407,1755290,36727252,1595000,40972883,C,41,,,2004,2
2303000,18410717,1766590,14128824,1600420,12805371,D,42,,,2004,2
820810,3209502,431820,1688701,328150,1280430,D,43,,,2004,2
294110,1571547,255220,1350014,231690,1243161,D,44,,,2004,2
1272850,746579,1205510,973402,1164250,1219606,D,45,,,2004,2
1115810,322961,1081300,409796,1069880,508128,D,46,,,2004,2
521600,497141,420800,414979,362200,359062,D,47,,,2004,2
11390,44387,12650,49808,14770,59061,D,48,,,2004,2
78100,506494,51760,345133,37500,254343,D,49,,,2004,2
281360,1243831,219200,1027421,177340,788181,D,50,,,2004,2
73030,31562,79660,37000,82580,44607,D,51,,,2004,2
135060,471979,92990,322259,72540,253350,D,52,,,2004,2
537970,915937,430920,811533,354760,713004,D,53,,,2004,2
2303230,4474261,1766650,3448423,1600730,3123637,D,54,,,2004,2
450470,243906,444210,288774,457410,341052,D,55,,,2004,2
340,264,370,176,360,2624,E,56,,,2004,2
442720,62544,436700,75884,449950,91417,E,57,,,2004,2
2303270,4536805,1766690,3524307,1600770,3215054,E,58,,,2004,2
1693600,1448274,1613380,2405054,1534700,3329337,E,59,,,2004,2
207180,31037,186530,40169,199170,55600,F,60,,,2004,2
1692280,1445200,1611960,2400817,1533310,3324025,F,61,,,2004,2
1666910,1442769,1603950,2395448,1529690,3316112,F,62,,,2004,2
885610,422012,1091510,740265,1097180,1080166,F,63,,,2004,2
1700200,1993433,1641960,3261319,1550620,4522020,F,64,,,2004,2
1481960,0,1322330,0,2804300,0,A,1,,,2004,3
27750,0,17330,0,45080,0,A,2,,,2004,3
1509720,0,1339660,0,2849380,0,A,3,,,2004,3
1140260,32552555,1056010,35155513,2196260,67708068,B,4,,,2004,3
28540,212113,26700,242963,55240,455076,B,5,,,2004,3
154210,504595,153930,489204,308140,993800,B,6,,,2004,3
253970,1364798,188390,1007882,442360,2372681,B,7,,,2004,3
340720,2404627,263870,1870112,604590,4274738,B,8,,,2004,3
269960,4093692,228630,4255662,498590,8349354,B,9,,,2004,3
228410,1352934,167350,945677,395760,2298611,B,10,,,2004,3
220780,585151,213970,721095,434740,1306246,B,11,,,2004,3
459230,928123,421490,883330,880710,1811453,B,12,,,2004,3
143010,934157,115080,882312,258080,1816468,B,13,,,2004,3
90220,163730,78120,125098,168330,288828,B,14,,,2004,3
116360,262913,114680,255121,231040,518034,B,15,,,2004,3
143070,572972,135120,543002,278190,1115974,B,16,,,2004,3
102940,1273797,89860,1177528,192800,2451325,B,17,,,2004,3
15560,211657,14180,205451,29740,417108,B,18,,,2004,3
8240,96705,7980,96781,16220,193487,B,19,,,2004,3
25880,140029,21560,88676,47440,228705,B,20,,,2004,3
3360,45417,3100,62242,6460,107659,B,21,,,2004,3
92270,604439,69490,503357,161770,1107796,B,22,,,2004,3
212800,669714,191050,654015,403850,1323729,B,23,,,2004,3
1509720,48974371,1339660,50165352,2849380,99139723,B,24,,,2004,3
352540,421992,382800,576806,735330,998798,C,25,,,2004,3
491920,1252218,530880,1480802,1022800,2733020,C,26,,,2004,3
447460,190346,450110,224103,897570,414449,C,27,,,2004,3
115170,332608,102830,320476,218000,653084,C,28,,,2004,3
179270,107346,173630,109265,352900,216611,C,29,,,2004,3
90080,79087,77450,76369,167540,155456,C,30,,,2004,3
52190,154277,55150,186124,107340,340402,C,31,,,2004,3
2720,20782,2130,21584,4850,42366,C,32,,,2004,3
84420,158092,71270,163783,155690,321875,C,33,,,2004,3
1054120,2717534,1019710,3160417,2073830,5877950,C,34,,,2004,3
360,1280,0,0,360,1280,C,35,,,2004,3
1508750,46265594,1338930,47006548,2847670,93272143,C,36,,,2004,3
3110,35956,2850,22955,5960,58911,C,37,,,2004,3
31810,54486,30600,69799,62420,124286,C,38,,,2004,3
120680,723351,95240,612398,215920,1335748,C,39,,,2004,3
152640,814046,126240,705483,278880,1519529,C,40,,,2004,3
1505430,45456310,1336530,46302798,2841960,91759108,C,41,,,2004,3
1509230,12077684,1339150,10721419,2848380,22799103,D,42,,,2004,3
257010,889155,190530,522770,447540,1411925,D,43,,,2004,3
217960,1186187,189400,1024394,407360,2210581,D,44,,,2004,3
1157050,1497092,1066330,1635062,2223380,3132153,D,45,,,2004,3
1062740,609153,987930,660965,2050670,1270118,D,46,,,2004,3
304220,302212,253120,251671,557340,553883,D,47,,,2004,3
15200,63697,11220,42495,26420,106192,D,48,,,2004,3
33940,238481,28980,201997,62920,440479,D,49,,,2004,3
154710,607579,133300,468293,288010,1075872,D,50,,,2004,3
77100,45642,72910,44187,150010,89830,D,51,,,2004,3
55450,183722,44170,153616,99620,337338,D,52,,,2004,3
288620,600185,212380,474277,501000,1074463,D,53,,,2004,3
1509330,2927316,1339270,2591468,2848600,5518784,D,54,,,2004,3
471090,382174,459430,400461,930520,782635,D,55,,,2004,3
690,3590,380,1152,1070,4742,E,56,,,2004,3
465140,103317,453400,108268,918540,211585,E,57,,,2004,3
1509330,3030633,1339330,2699736,2848650,5730369,E,58,,,2004,3
1473880,4188556,1317180,4719831,2791060,8908387,E,59,,,2004,3
199370,77889,196210,96019,395590,173908,F,60,,,2004,3
1473140,4181148,1316240,4712253,2789380,8893401,F,61,,,2004,3
